ids,article,advertisement,conflict_of_interest,fan_point_of_view,press_release
1532,"Sandy Fussell born 1960 is an award winning Australian author best known for her works in children literature. In 2009, her second novel, Polar Boy, was selected as the National Reading Day book for primary school students. Growing up in a house with few books, Fussell discovered reading and the library when she started school. She studied hard because books were given as academic prizes. Fussell began writing in 2002 when one of her children stopped reading. A mother son writing project ended with Fussell being told to go write your own book . Fussell works as a computer programmer and is passionate about using technology to encourage reading and writing in children. Her Samurai Kids website has been archived by the National Library of Australia Pandora Project, which provides long term access to Australian online publications of national significance.",1,0,0,0
1533,"Fyrishov is the largest arena in Uppsala and is Sweden's fourth most visited, specialized in swimming, sports events, meetings and recreation. The facility includes areas for indoor sports, summer sport and a generous waterpark with waterslides, 50 meter pool, training pool, relaxation area and a large outdoor swimming pool. Accommodation is offered at Fyrishov cabin area and at the resort restaurants, a good lunch or dinner can be enjoyed. Fyrishov AB's business also includes the operation of Gottsundabadet in which there is a 25 meter pool, a 10 meter children's pool and gym. The entire facility is open all year round and a large number of meetings and various events are held here annually. In addition to activities within the arena Fyrishov AB runs Tavlingsstaden Uppsala in a collaboration between the sports organizers, Fyrishov AB, Uppsala, Uppsala Tourism and hotel business. Co founded in 2006 by Fyrishov AB under the name SM town Uppsala SM stands for Svenska masterskap, i.e. Swedish national championships in 2007 but was expanded to include international events and competitions at high national level. The project aims to develop Uppsala, a leading sports town in Sweden. Year 2009 there were 24 SM competitions and major national and international competitions in Uppsala. At Fyrishov the city's basketball team Uppsala Basket also plays, former KFUM Uppsala, their home games in the Swedish basketball league. There are also athletic club Uppsala, the fencing club Upsala Faktning, Uppsala Judo Club, Sweden's oldest judo club, Uppsala volleyball companion, Upsala weightlifting club and Upsala Simsallskap, one of the world's oldest swimmingclubs. The sport that draws the most audience is floorball. Uppsala's two teams in the Swedish Super League, Storvreta IBK and IK Sirius IBK, have Fyrishov as their home. Coordinates 595215N 173725E 59.87083N 17.62361E 59.87083 17.62361",1,0,0,0
1534,"The first G Fest took place on June 1618, 2016, featuring 85 musicians on four stages over three days, the majority of which were Oklahomans. The lineup included headliners Old Crow Medicine Show, The Avett Brothers and Kacey Musgraves. Merle Haggard was originally slated to headline the final night of G Fest, but died two months before the festival. The festival was dedicated in his memory. The opening of the third day included a proclamation by Oklahoma Governor, Mary Fallin, officially making it Merle Haggard Day, the unveiling of a Merle Haggard Ave street sign that will be placed in front of the Muskogee Civic Center where he recorded his live album, and a video of a planned Merle Haggard Plaza that will include a life size statue of Haggard. Artist Richard Hight concluded the ceremony by painting a portrait of Haggard live on stage while Okie from Muskogee was playing in the background.",1,0,0,0
1535,"Gain is a brand of detergent made by Procter Gamble. Gain was introduced in 1969 as a powerful, stain removing detergent. In 1981, the brand's focus was re positioned to market Gain as a detergent offering a unique, fresh scent. Gain has acquired more than 1 billion in sales and is Procter Gamble's 8th largest brand in dollar sales in the United States. Procter Gamble also expanded the Gain line with a variety of scents with their detergent line in both powder and liquid. Gain liquid fabric softener, dryer sheets, dryer bars and in wash scent booster were also introduced to the market. Gain also offers a dishwashing liquid. The scents of Gain became so popular that P G offers Gain scents with their other popular products including Febreze, Mr. Clean, Swiffer and Cascade products. Gain has branched out into the advertising by using Wanda Sykes and their official Scent Matchmaker. Sykes is also creating YouTube videos to interact with consumers and help match them with scents that fit them best. They have also been a sponsor in NASCAR, being a part of Jeff Burton's Roush Racing Busch Series team during the 2001 and 2002 seasons. In the summer of 2011, Gain detergent sponsored the I Use Gain and I Smell Like a Million Bucks video contest. A grand prize of 1 million, paid out in annuity form of 20 annual installments at 50,000 each before taxes, or a lump sum equivalent, was offered which was the largest guaranteed prize in video contest history. After several weeks of voting on Facebook, Lance Merkley of Richmond, Washington, was declared the winner of the public votes and the 1 million prize.",1,0,0,0
1536,"Petros Gaitanos Greek born on October 31, 1967 is a Greek singer. He was born in Drama, Greece, and raised in the village of Kokkinogeia, where he remained until the age of 18 years. He studied at the Athens Hellenic Odeum and has a degree of Byzantine music. He is deeply influenced by Byzantine music and has produced a series of records with Byzantine works and hymns. During his artistic career he served as artistic director of the Foundation Karitteion Melathron .",1,0,0,0
1537,"Gale Technologies formerly known as Lumenare Networks is a private company headquartered in Santa Clara, CA with additional offices in Asia that is backed by Crescendo Ventures. The company automates companies infrastructure by delivering private and hybrid cloud management and orchestration software. It also sells management solutions for converged infrastructure deployments. 2008 July Lumenare Networks is formed, and includes the acquired intellectual property of two other companies, Quikcycle and EdenTree Technologies. It was later renamed to Gale Technologies in 2010. 2012 March Gale Technologies completes the acquisition of Virtiv Technology and its Intellectual Property. 2012 16 Nov Dell announces the acquisition of Gale Technologies.",1,0,0,0
1538,"Galeyev Gallery in Russian is a gallery specializing in the 20th century Russian art of the pre World War II period. It was founded in May 2006, and it is located in the heart of Moscow's historic and cultural center, on Bolshoi Kozikhinskii Pereulok, near Patriarchs Ponds. The gallery's inaugural exhibition, Linocuts of the 1930s, which featured the works of Lev Lapin 18891962 began the museum's tradition of exhibiting previously unknown artworks of the 1920s and 1930s. Some of these exhibitions are of work by artists who are not well known, while others are lesser known works of the more famous artists of that era. Each exhibition is dedicated to one artist, and features only his or her works. 2006 2007 2008 2009 2010 2011 Coordinates 554544N 373541E 55.7621N 37.5946E 55.7621 37.5946",1,0,0,0
1539,"Michael R. Gallagher was the CEO and Director of Playtex Products, Inc., from July 1995 until his retirement in December 2004. Prior to that, Gallagher was CEO of North America for Reckitt Colman PLC, a consumer products company based in London. He was also the President and CEO of Eastman Kodak's subsidiary L F Products, a cleaning products company, from 1988 to 1994. Michael serves as the chair of the Board of Advisors of the Haas School of Business, University of California, Berkeley and the Board of Trustees of St. Luke's School. He holds an MBA from the Haas School of Business at the University of California, Berkeley.",1,1,0,0
1540,"Deborah Gallegos was the Chief Investment Officer for the Comptroller of the City of New York during 2005. Gallegos moved to New York from a less high profile post as deputy state investment officer for the New Mexico State Investment Council, where she oversaw a 1 billion private equity program and worked with the governor on investing 11.8 billion in assets. Before that she worked in the private sector with stints at Callan Associates a pension fund consulting firm , Morgan Stanley, and JP Morgan Fleming Asset Management. While in this position, she supervised investments for New York City's five pension funds, which together had close to 85 billion in assets. The systems fund retirements for the city's civil servants, teachers, firemen, police officers, and board of education. Gallegos holds an MBA from the Haas School of Business at the University of California, Berkeley.",1,1,0,0
1541,"Herbert Gallen September 15, 1915, Passaic, New Jersey September 22, 2007 was the American chairman and owner of Ellen Tracy, Inc. for over 50 years until 2002 when it was sold to Liz Claiborne. Ellen Tracy was a manufacturer of women's business clothes. Herbert Gallen grew up in Paterson, New Jersey, the son of a fabric manufacturer and grandson of a silk mill owner. After graduating from high school, he went to work for an uncle who owned several auto supply stores. Gallen ran his own store before serving in the army, where he was still involved in the auto parts business during World War II. Because of wartime restrictions, fabric became difficult to acquire and he recognized a chance to take advantage of connections to move into the apparel industry. He produced several sample blouses using fabric obtained from a friend, which he then took to major department stores in Manhattan. He visited Franklin Simon, which immediately purchased every blouse he had. Gallen made up the name Ellen Tracy because he believed that a women's line should feature a woman's name. After being widowered for several years, he married Linda Allard in 2000. Allard had been working for him since 1962 and she later became the creative force behind Ellen Tracy.",1,0,0,0
1542,"Gallery One Visual Arts Center is a nonprofit organization in Central Washington. The gallery is located in Ellensburg. Gallery One showcases local contemporary art and provides the local community with a variety of art classes and after school programs. The gallery was opened in August 29, 1968. It was named the Ellensburg Community Art Gallery. In 1994, the name of the gallery was changed to Gallery One Visual Art Center. In 2001, the building went through a major remodelling that incorporated the whole building. With over 5000 square feet of exhibition space on three levels, Gallery One's exhibition program features monthly rotating shows that focus on contemporary and regional artists. The gallery features classes of fine art.",1,0,0,0
1543,"GamePlay is an open source, cross platform 3D native C game framework.",1,0,0,0
1544,"Gamers The Movie or simply Gamers is an independent 2006 mockumentary film written, directed and produced by Chris Folino. The film follows four friends who, saddled with four of the worst jobs known to man , attempt to set the world record for playing Demons, Nymphs, and Dragons DND , a Dungeons Dragons like game. Filmed in only six days and entirely self financed with 60,000 from credit cards, the film featured several 1980s stars in supporting roles Kelly Le Brock Weird Science , Beverly D'Angelo Entourage, National Lampoon's Vacation , and William Katt The Greatest American Hero . The soundtrack also includes songs by Loverboy and other 1980s bands. Indie film web sites Indie Film Nation and bumscorner.com named Gamers the Best Film of 2006. It also received the award for Best Screenplay at the 2006 Melbourne Underground Film Festival.",1,0,0,0
1545,"In information visualization and computing, GapChart is a chart for displaying time series data by using non overlapped thick curves. It was invented in 2013 by Fred. Vernier LIMSI labs at Univ. Paris Sud and Charles Perin LIMSI labs at Univ. Paris Sud and AVIZ INRIA . Jeremy Boy AVIZ INRIA helped them to improve the original design to its current form. GapChart display one thick curve by time series data. At each time step curves display a flat part and a transition part. Flat parts are separated by gaps proportional to data difference. When two or more time series have same value at the same time step they are distinguished by an external method and represented side by side. Transition steps are represented by straight or S shaped link. They can partially overlap but never totally since star Labels can fit inside thick curves where i't not too steep and different colors ca be used to better distinguish elements.",1,0,0,0
1546,"Gapyear.com is a gap year social network based in the United Kingdom. Built around a travel community, its members engage in the site through blogs, events, messageboards and photos. It provides advice, ideas and opportunities on everything related to gap years and backpacking, including information on planning your trip, destinations, volunteering, and working abroad. It is also described as a travel advice website. Tom Griffiths published Before You Go in 1997, a book about planning your gap year, and went on to win The Times's Young Travel Writer of the Year award. Griffiths went on to create The Gap Year Company Ltd. in July 1998 with IT consultant Peter Pedrick. The website was initially launched as thegapyear.co.uk, which became gapyear.co.uk in 1999, and gapyear.com in 2000. As a media spokesperson for gapyear.com and the gap year industry, Griffiths became a prominent figure in the media. In 2005, gapyear.com worked with Advance Payment Solutions APS to launch the Gap Year Cashplus Prepaid MasterCard, a first for the backpacker travel market. Gapyear.com played a role in defining the underlying principles of Fair Trade Volunteering, worked with Way Out Experiences WOX to launch The Great Volunteer Project and built a long running relationship with Connexions to help give advice to students during A level clearing. In 2010, gapyear.com became a part of Flight Centre, Ltd. In 2012 gapyear.com relaunched the gapyear.com magazine it was initially launched in 2000 , available in UK schools, colleges, universities and Flight Centre stores. The publication is an extension of the brand and offers readers advice, ideas and inspiration on gap year travel.",1,0,0,0
1547,"Garden Hills Elementary School is an elementary school in Garden Hills, Atlanta, Georgia and a part of Atlanta Public Schools APS . Built in 1938, the brick school building is a work of Atlanta architect Philip Shutze. It was built by as a part of the Works Progress Administration WPA and was made to blend in with surrounding architectural styles. Robert M. Craig, author of Atlanta Architecture Art Deco to Modern Classic, 1929 1959, described the school as a traditional work by designer Tucker and Howell. The building most recently underwent a renovation addition in 2001, when a cafeteria and a section of classrooms were added. It enrolls children in kindergarten through fifth grade. The principal when is Tommy Usher. It is on the National Register of Historic Places. Garden Hills was the first elementary school in Georgia to become an International Baccalaureate World School. Residents zoned to Garden Hills are also zoned to Sutton Middle School and North Atlanta High School. Coordinates 334957N 842249W 33.8326N 84.3804W 33.8326 84.3804",1,0,0,0
1548,"Thea Garrett born 15 March 1992 is a Maltese singer and Musical Theatre Performer who represented Malta in the Eurovision Song Contest 2010 in Oslo. Born in Malta in 1992, Thea studied vocal technique and interpretation under local Maltese soprano Gillian Zammit. She also did an evening course in musical theater at the Masquerade Theatre School, acquiring qualifications accredited by Trinity Guildhall College. In 2010, Garrett won the Maltese national final to represent Malta in the Eurovision Song Contest 2010 with the song My Dream . Garrett performed in the first semi final on 25 May 2010 in Oslo, Norway. but failed to qualify for the final, placing 12th and released her first single, Frontline.",1,0,0,0
1549,"Peter Garza born August 6, 1960 is a United States computer forensics expert and cybercrime investigator. As a Special Agent with the Naval Criminal Investigative Service, Peter Garza conducted the first court ordered Internet wiretap in the United States while investigating the Julio Cesar Ardita El Griton hacking case. Ardita was charged by the U.S. Justice Department with using compromised user accounts at Harvard University to hack into government and university computer systems in the U.S. and abroad. Ardita pleaded guilty on May 19, 1998 in the United States District Court of Massachusetts to unlawfully intercepting electronic communications and damaging files on military computer systems. Garza founded EvidentData, Inc., a private sector consulting firm specializing in computer forensics, electronic discovery, and expert consulting, in 1999. EvidentData was acquired by First Advantage which he left in 2009 to form Data Forte. Garza continues to be involved in many high profile civil cases. He gave expert testimony regarding altered electronic documents in a case Beckman Coulter Inc. v. Dovatron International Inc. which resulted in a 934 million jury award and testified regarding critical deleted but recoverable data in a case Steinberg, Moorad Dunn, Inc. v. Dunn brought by sports agent Leigh Steinberg against former partner David Dunn which resulted in a 45 million jury award. Peter Garza earned a Master of Science in Information Systems from Claremont Graduate University in 2001. He also developed and taught a graduate course in Computer Forensics at California State Polytechnic University, Pomona.",0,0,0,0
1550,"Albert Garzia born 27 July 1977 is a Maltese composer, musician and music teacher. He started his musical training as an accordionist at an early age under Dorselle Mifsud with whom he also studied piano performance later on. Even though he initially graduated in Industrial Electronics, his fascination for the diverse facets of music led him to experiment in many of its fields. He started his composition studies with Raymond Schiberras. He completed his B.A. Hons. in Music Studies with First Class Honours read concurrently with a Diploma in Sacred Music both majoring in Composition at the University of Malta. He completed his master's degree in music at the School of Composition and Contemporary Music at the Royal Northern College of Music in Manchester with Distinction . Garzia's music ranges from orchestral to chamber combinations and has been performed in a variety of settings including composition competitions. Some of his piano music has also been published for pedagogical use. He has also collaborated with drama companies, choreographers, poets, and film directors. While being versatile in his approach, his objective is principally an effective musical communication which he strives to achieve by fusing folk elements into a contemporary music language. In 2004 he joined Maltese modern folk sextet Walter Micallef u l bieb.",1,0,0,0
1551,"GayWeddings.com is an online resource for vendors and consumers in the same sex wedding market. Founded in 1999, GayWeddings.com is led by established author and same sex wedding authority Kathryn Hamm. Recently establishing a partnership with WeddingWire, Gayweddings.com provides resources, as well as products and networking information, to same sex couples engaging in commitment ceremonies, civil unions, domestic partnerships, and civil marriage. Gayweddings.com has been featured in The New York Times, The Advocate, The Washington Post, The Associated Press, USA Today as well as on CNN.com and ABC News.",1,0,0,0
1552,"Gazaro is an internet service corporation that tracks and analyzes online prices of electronics. Gazaro was founded in 2007 by Sam Zaid and Paul Lem. Gazaro.com was launched in the United States in alpha at TechCrunch50 on September 8, 2008, and opened to the public on March 2, 2009, at DEMO 2009. The Canadian version of Gazaro, Gazaro.ca, was launched on December 3, 2009. Expanding into the mobile space, the company launched its first iPhone app, Gazaro Deals, in December 2009. In 2010, Gazaro launched PriceIQ Price Intelligence, a service offering aimed at retailers and providing real time price analysis. Gazaro was named a 2010 Startup to Watch by the Ottawa Business Journal, a 2011 Top25 ICT Up and Comer by Branham Group, and was named a finalist for the 2011 TIE50 awards. In July 2012, the company formally known as Gazaro, rebranded itself to be known as 360pi.",1,0,0,0
1553,"ecoATM, LLC doing business as Gazelle is an eCommerce company founded in 2006 that lets people sell their used electronic devices, such as cell phones, tablets and computers. The company pays consumers for used or broken electronic devices. It is headquartered in Boston, Massachusetts with operations in Louisville, Kentucky. Gazelle was founded in 2006 by Israel Ganot, Rousseau Aurelien, and James McElhiney. Gazelle.com launched in 2008 and raised 46 million in funding from Venrock, Rockport Capital, Physic Ventures and Craton Equity Partners. The company's corporate office is located in San Diego, CA with more than 150 employees. In June 2013, the consumer electronics retailer opened its first processing center in Louisville, KY. The warehouse operates with about 150 employees. In 2013, the company topped 100 million in revenue, growing at a 150 percent rate. In November 2014, Gazelle launched a store to sell certified pre owned devices direct to consumers. Since launching, Gazelle has paid 200 million to consumers for used devices, and has accepted more than 2 million devices from more than 1 million customers. On November 10, 2015 Gazelle's acquisition by Outerwall Inc. , owner of ecoATM, another electronics recycler, became official.",1,1,0,0
1554,"GB Smith is an independent software editor which provides solutions for Business Intelligence professionals. GB Smith was founded in 2007 by renowned Business Objects experts Sebastien Goiffon and Alexandre Biegala. The company has an international presence with offices in Boston MA, USA , Atlanta GA, USA , Montreal Canada , London UK , Lille and Grenoble France . Alexandre Biegala and Sebastien Goiffon invented a method to easily review and administer security rights through a modern User interface leveraging BI metadata which was the basis for the company's success. Gb and Smith was granted two patents for this innovation BusinessObjects co founder Denis Payre joined GB Smith on 1 April 2016. In 1996, Denis Payre and his partner, Bernard Liautaud were ranked by Business Week among the Best Entrepreneurs , alongside Steve Jobs and Steven Spielberg. 360Suite consists in a suite of nine solutions focused around SAP BusinessObjects",1,0,0,0
1555,"Gecko is an internationally touring physical theatre company, founded in 2001, and led by Artistic Director Amit Lahav. The style of the company was influenced primarily by the work of Lindsay Kemp and David Glass. With an expanding ensemble of international performers and makers, Gecko creates work through collaboration, experimentation and play, in order to create a universal language through movement and dance. The style is often referred to as 'Total Theatre', which Lahav describes as utilising any means possible to tell a story, including the creative deployment of puppets, props, physicality, language, music, lighting, multimedia and soundscapes to construct a complete theatrical world from these individual components. Through the ensemble's collaboration and the audience's engagement, each show continually evolves throughout their numerous stages of development. The company tours nationally and internationally, developing strong partnerships around the world. Beyond the stage, Gecko aspires to open the doors on their process via every possible avenue, be it digital, in schools or through one to one relationships with their audience.",1,0,0,0
1556,"GEDitCOM is genealogy software for the Mac OS X. The program provides methods to input, manipulate and view information about a family history. It includes options to produce charts depicting family relationships and to produce Web pages for publishing a family history online. GEDitCOM has native support of GEDCOM files, and is customizable and extensible through Applescript, Python, or Ruby. GEDitCOM II v1.0 was released 7 June 2009 and was a complete rewrite of GEDitCOM 3.82 as a universal binary Cocoa based application, which runs under OS X 10.4 and higher. GEDitCOM v1.0 was released 7 December 1998, with the final version 3.82 released on 7 June 2009 which runs on MacOS 8.1 or newer. The most significant changes were the introduction of Extensions or GEDitCOM II plug ins , dynamic editing in trees, and redesigned help window Supported languages English, French, Spanish, Portuguese, Finnish, Swedish.",1,0,0,0
1557,"The Geffrye Museum of the Home is located on Kingsland Road in the Hoxton area of Shoreditch, London. The Museum explores home and home life from 1600 to the present day with a series of period room displays. It is housed in 18th century Grade I listed almshouses formerly belonging to the Ironmongers' Company which were built in 1714 thanks to a bequest by Sir Robert Geffrye, a former Lord Mayor of London and Master of the Ironmongers' Company. On 7 January 2018 the Geffrye closed for its two year 18m development project, Unlocking the Geffrye. The museum is due to reopen in early 2020. Until the recent closure, the main permanent displays were a series of room settings furnished and decorated to show the main living spaces and elements of domestic life through the centuries, reflecting changes in society, behaviour, style and taste. Several structures connected with the museum are listed on the National Heritage List for England. The main museum building is Grade I listed and the niche in the north west corner of the forecourt of the museum is listed Grade II . The forecourt wall, gates and railings to the museum are Grade II listed, and the two K6 telephone boxes on the Kingsland Road outside the museum are listed Grade II. Front facade Herb garden Rear facade and garden Garden reading room Chapel 1870 drawing room 1998 loft apartment 20th Century galleries Period gardens Media related to Geffrye Museum at Wikimedia Commons Coordinates 513154.26N 000434.39W 51.5317389N 0.0762194W 51.5317389 0.0762194",1,0,0,0
1558,"Thomas Geitner born 14 March 1955 in Heidenheim, Germany is a German businessman. He joined the board of BBC Worldwide, the BBCs main commercial subsidiary, as a non executive director in April 2007, where he will be particularly advising on new media developments, investments and international growth as BBC Worldwide gears up for some major digital business launches. Previously, he was the CEO, New Businesses Innovation of Vodafone since April 2006, and also a Board director since May 2000. As a consequence of the restructuring of the Vodafone organisation, he left the post and company end of 2006. Geitner joined Vodafone in 2000 as an Executive Director, with responsibility for establishing and managing Global Products and Services, he was responsible for establishing Vodafone as a global brand, for the creation and successful launch of Vodafone live in 2002 and the establishment of a global supply chain organisation. In July 2003, Geitner was appointed Vodafones Chief Technology Officer. In this capacity he initiated and led the One Vodafone programme, established a set of shared service organizations and created the Groups leadership position on 3G across Europe. He was a director of several of the Group's overseas subsidiaries including Chairman of the Supervisory Board of Arcor AG Co.KG, a member of the Supervisory Board of Vodafone D2 GmbH and a member of the Management Boards of Vodafone Holding GmbH and Vodafone Deutschland GmbH. He is also a member of the Supervisory Board of Singulus Technologies AG. Prior to Vodafone, Thomas was leading a number of engineering businesses and later was responsible for telecommunications at RWE Group and was a member of the Management Board. He also held the position of CEO of Otelo Communications GmbH and E Plus, two German telecommunications companies.",1,0,0,0
1559,"GeminiJets is a diecast model airplane manufacturer based in Las Vegas, Nevada, United States founded in 1998 under the name of SkyJets. The product line is named GeminiJets, but ADI Airliners Distributing Inc. is the founding company holding the production licenses from airlines and aircraft manufacturers, including but not limited to Boeing, Airbus, McDonnell Douglas, and Embraer. ADI makes and markets aircraft in several different scales. The retailer has been one of the most popular sellers of diecast aircraft models, particularly in the 1 400 scale, however they market several model lines, including",1,0,0,0
1560,"Gemmy Industries is an American company founded in 1984 in Dallas, Texas. Gemmy is known for its novelty and decor items, as well as its seasonal products for Saint Valentine's Day, Saint Patrick's Day, Easter, Independence Day, Halloween, Thanksgiving, and Christmas. The company is headquartered in Coppell, Texas. Gemmy's diverse product line has created recognizable brands of outdoor decor such as Airblown inflatables, LightShow light strings and pathway markers, and Projection Spotlights. Their animated products include Dancing Hamsters, Monkey Town USA, Frogz, Douglas Fir the Talking Tree, Pete the Repeat Parrot, Buck the Animated Trophy, Bud the Talking Bear Rug, and Big Mouth Billy Bass. Gemmy produces products based on popular licenses such as Star Wars, Mickey Mouse and other Disney characters, DC Comics, Marvel Comics, Peanuts, SpongeBob SquarePants, M M's, Hello Kitty, Frosty the Snowman, The Elf on the Shelf, Rudolph the Red Nosed Reindeer, The Simpsons, Looney Tunes, Family Guy, South Park, Sesame Street, Garfield, Minions and many more. Their animated line also consists of life sized Halloween animated figures, some of which in the past have represented movie villains such as Count Dracula, Frankenstein's monster, The Mummy, Wicked Witch of the West, Freddy Krueger, Ghost Face, Jason Voorhees, Michael Myers, Pinhead, and Leatherface. Gemmy also made the pop culture series, with animated figures of popular music and comedy stars like Hank Williams Jr., Dean Martin, James Brown, Louis Armstrong, Rodney Dangerfield, and many more. Their animated products have since gained a cult following, and the company gained more attention when videos of some of their products of twerking animals arose on YouTube in 2015.",1,0,0,0
1561,"Generator Hostels is a chain of hostels headquartered in London, United Kingdom. In 2017 the company operates 12 hostels in Europe, including properties in Dublin, London, Copenhagen, Hamburg, Berlin, Venice, Barcelona, Paris, Stockholm, Rome and Amsterdam. Generator hostels was established in 1995 as a single property in London. In 2002, the company expanded to Berlin. In 2007, these two properties were acquired by Patron Capital. International travel expert Fredrik Korallus was hired as CEO alongside Anwar Mekhayech, the creative director. In 2011, Generator launched two new hostels in Copenhagen and Dublin. 2012 saw a further hostel open in Hamburg, as well as the acquisition of properties in Venice, Barcelona and a second in Berlin. The doors opened in 2013. Generator Paris opened in February 2015, followed by Generator Amsterdam in March 2016 and Stockholm in June of the same year. At that time, Patron continued to own a majority stake in the company. In September 2015, Generator acquired most of the units in the Atlantic Princess Condominium in Miami Beach in preparation for the planned opening of a hostel there in 2017.",0,0,0,1
1562,"Genius Project is a project portfolio management software PPM . The product includes a KPI module, Gantt charting, support for project requests and help desk trouble tickets as work items, support for scrum, configurable views, meeting management, project output tracking, and the Genius Live social collaboration platform. Genius Project is developed by Genius Inside. It was first released in 1997 and is available in English, German, Spanish and French. It is a project management software used by any type of company, in any business. The product has evolved from a simple project management solution to a full suite of enterprise project and portfolio management application, offered in both software as a service and on premises deployment options built on IBM middleware.",1,0,0,0
1563,"Geniusmatcher is an Israeli company based in Haifa, founded in 2012 by Frida Issa and Pablo Garcia Morato Fernandez Baillo. They have created a patented platform combining computer vision and 3D technology to create one hardware free solution for mapping, positioning and navigating in any indoor location. Their first product for shopping centers, MALLY My Mall in Hebrew , with its interactive 3D maps, tells the visitor Where is he standing, What is around him, How to get to each spot and Who is there to share his experience with. The platform is an end to end solution , dynamic content and notification support, with 2D to 3D automatic conversion, managed in the cloud and displayable on all mobile devices. On February, 2014, the company joined Wayra, the Telefonica global accelerator and opened offices in London and Madrid managed by Jorge Garcia Morato Geniusmatcher's COO . Mally differs from other traditional indoor navigation solutions as it is hardware free and user oriented, targeted to help users find their way and understand perfectly their environment. Flat maps are difficult to understand and to describe the real world. Mally 3D Maps provide the user an immersive experience merging reality with the virtual world. Mally uses the smartphone or tablet built in camera to locate the users where GPS does not work or is not accurate enough. There is no extra hardware required or installations. The system detects the user's exact position and sets it over the 3D Map. The content is published by the platform customers, initially shopping centres. They access a CMS where the can both create the 3D maps automatically by scanning 2D plans png, jpeg, pdf and they can create and assign all the content to be displayed shops info, offers, events, etc .",1,0,0,0
1564,"Genostar is a bioinformatics provider based in Grenoble, France. The company was founded in 2004 following the Genostar consortium that was created in 1999 as a public private consortium by Genome Express, Hybrigenics, INRIA Institut National de Recherche en Informatique et Automatique French National Institute for Research in Computer Science and Control and The Pasteur Institute. Metabolic Pathway Builder is a bioinformatics environment dedicated to microbial research. This covers sequence assembly, mapping, annotation transfer and identification of protein domains, comparative genomics, structural searches, metabolic pathway analysis, modeling and simulation of biological networks. Genostar's software is platform independent and can thus be used for both Mac OS X, Windows, and Linux. Metabolic Pathway Builder integrates several methods dedicated to proteic annotation Genostar's Expression Data Solution EDS connects microarray data to genes, gene products and biochemical reactions, based on keywords and annotations. This software allows to Genostar's MicroB database is constructed of perfectly integrated and rigorously cross checked genomic, proteic, biochemical and metabolic data approximately 1100 bacterial and archaeal organisms.",1,0,0,0
1565,"Genstat General Statistics is a statistical software package with data analysis capabilities, particularly in the field of agriculture. Since 1968, it has been developed by many scientific experts in Rothamsted Research, and has a user friendly interface, professional modular design, excellent linear mixed models and graphic functions. Leading Genstats continued development and distribution is VSN International VSNi , which is owned by The Numerical Algorithms Group and Rothamsted Research. Genstat is used in a number of research areas, including plant science, forestry, animal science, and medicine, and is recognized by several world class universities and enterprises. Genstats statistical software can be applied to the following user areas Payne, R. W. 2009 . Genstat . Wiley Interdisciplinary Reviews Computational Statistics. 1 2 255258. doi 10.1002 wics.32.",1,1,0,0
1566,"Guy Gentile born July 3, 1976 is an American business executive, entrepreneur, and high frequency trading expert. He is the current CEO of Swiss America Securities, Ltd and is best known for founding two high frequency trading firms. In 1999 Gentile founded Speedtrader, currently owned by Stock USA Investments, Inc, formerly Speed Trader, Inc, . Then in 2011 Gentile founded SureTrader, a division of Swiss Americas Securities, Ltd. In less than a year in operation, SureTrader reported more than 100,000 equity transactions daily. Its success prompted a major expansion to meet scaling demands, and the firm set out to increase staff by two hundred percent during March 2012. By 2012 both SureTrader and SpeedTrader were ranked among Barron's top online brokers. In May 2012, as Suretrader reported averaging thirty thousand transactions daily, Gentile then broke ground on Sur Club, 1.2 million dollar sushi restaurant offering both a club and dining experience. It received more than 500 advance applications for its opening night. Gentile has also appeared in Bloomberg.",0,0,0,0
1567,"Geographic Messaging Service, or GMS in short, is a new form of messaging for cell phones. It is a message associated with a geographic region that is delivered to a subscriber when they are in that region. This form of messaging extends traditional Short Messaging Service SMS and Multimedia Messaging Service MMS , by allowing subscribers to leave and receive SMS or MMS where they matter. Similar to SMS and MMS, GMS can be the vehicle for peer to peer communicationsfor example, someone leaving a shopping list around the store as a reminderas well as for other content and marketing services. For example, a tourist organization can leave tidbits about interesting locations in New York City and have them delivered to visitors when they are nearby those locations. And, a store can send coupons over GMS just to those subscribers that are in the vicinity of the store. The technology underlying GMS is called GeoFencingdetecting when a cellphone crosses a virtual geographic fence. The term GMS was coined by researchers at Bell Laboratories.",1,0,0,0
